gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text,subject_type,V1
98,A Tale of Two Cities,"Dickens, Charles",37,en,Historical Fiction,Public domain in the USA.,TRUE,lcsh,"France -- History -- Revolution, 1789-1799 -- Fiction, French -- England -- London -- Fiction, London (England) -- History -- 18th century -- Fiction, Historical fiction, British -- France -- Paris -- Fiction, Executions and executioners -- Fiction, Paris (France) -- History -- 1789-1799 -- Fiction, Lookalikes -- Fiction, War stories"
102,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE,lcsh,"Infants switched at birth -- Fiction, Passing (Identity) -- Fiction, Missouri -- Fiction, Trials (Murder) -- Fiction, Race relations -- Fiction, Impostors and imposture -- Fiction, Legal stories"
103,Around the World in Eighty Days,"Verne, Jules",60,en,Movie Books/Adventure/Best Books Ever Listings,Public domain in the USA.,TRUE,lcsh,"Voyages around the world -- Fiction, Adventure stories"
105,Persuasion,"Austen, Jane",68,en,NA,Public domain in the USA.,TRUE,lcsh,"Motherless families -- Fiction, England -- Social life and customs -- 19th century -- Fiction, Ship captains -- Fiction, Rejection (Psychology) -- Fiction, Love stories, Regency fiction, Psychological fiction, Young women -- Fiction, First loves -- Fiction, Dysfunctional families -- Fiction"
106,Jungle Tales of Tarzan,"Burroughs, Edgar Rice",48,en,Movie Books/Adventure,Public domain in the USA.,TRUE,lcsh,"Africa -- Fiction, Adventure stories, Apes -- Fiction, Jungles -- Fiction, Fantasy fiction, Tarzan (Fictitious character) -- Fiction"
108,The Return of Sherlock Holmes,"Doyle, Arthur Conan",69,en,Detective Fiction,Public domain in the USA.,TRUE,lcsh,"Holmes, Sherlock (Fictitious character) -- Fiction, Detective and mystery stories, English"
110,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",23,en,Banned Books from Anne Haight's list,Public domain in the USA.,TRUE,lcsh,"Triangles (Interpersonal relations) -- Fiction, Pastoral fiction, Rape victims -- Fiction, Didactic fiction, Children of the rich -- Fiction, Women household employees -- Fiction, Poor families -- Fiction, Children of clergy -- Fiction, Women murderers -- Fiction, Wessex (England) -- Fiction, Man-woman relationships -- Fiction"
111,Freckles,"Stratton-Porter, Gene",71,en,NA,Public domain in the USA.,TRUE,lcsh,"Orphans -- Fiction, Indiana -- Fiction, People with disabilities -- Fiction, Swamps -- Fiction"
113,The Secret Garden,"Burnett, Frances Hodgson",73,en,Children's Literature,Public domain in the USA.,TRUE,lcsh,"Yorkshire (England) -- Fiction, Gardens -- Fiction, Orphans -- Fiction, People with disabilities -- Fiction"
114,The Tenniel Illustrations for Carroll's Alice in Wonderland,"Tenniel, John",74,en,NA,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, Children's stories"
119,A Tramp Abroad,"Twain, Mark",53,en,NA,Public domain in the USA.,TRUE,lcsh,"Europe -- Fiction, Walking -- Fiction, Humorous stories, Americans -- Europe -- Fiction"
120,Treasure Island,"Stevenson, Robert Louis",35,en,Best Books Ever Listings/Historical Fiction/Children's Literature,Public domain in the USA.,TRUE,lcsh,"Pirates -- Fiction, Sea stories, Treasure troves -- Fiction, Treasure Island (Imaginary place) -- Fiction"
121,Northanger Abbey,"Austen, Jane",68,en,Gothic Fiction,Public domain in the USA.,TRUE,lcsh,"England -- Social life and customs -- 19th century -- Fiction, England -- Fiction, Marriage -- Economic aspects -- Fiction, Books and reading -- Fiction, Gothic fiction (Literary genre), Satire, Gentry -- England -- Fiction, Horror tales -- Appreciation -- Fiction, Love stories, Young women -- Fiction"
122,The Return of the Native,"Hardy, Thomas",23,en,NA,Public domain in the USA.,TRUE,lcsh,"Love stories, Heathlands -- Fiction, Adultery -- Fiction, Wessex (England) -- Fiction, People with visual disabilities -- Fiction, Mothers and sons -- Fiction, Mate selection -- Fiction, Didactic fiction"
123,At the Earth's Core,"Burroughs, Edgar Rice",48,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Fantasy fiction, Adventure stories, Earth (Planet) -- Core -- Fiction, Science fiction"
125,A Girl of the Limberlost,"Stratton-Porter, Gene",71,en,NA,Public domain in the USA.,TRUE,lcsh,"Moths -- Fiction, Indiana -- Fiction, Domestic fiction, Mothers and daughters -- Fiction, Didactic fiction, Conflict of generations -- Fiction, Bildungsromans, Girls -- Fiction, Swamps -- Fiction"
126,The Poison Belt,"Doyle, Arthur Conan",69,en,Science Fiction,Public domain in the USA.,TRUE,lcsh,"Challenger, Professor (Fictitious character) -- Fiction, Science fiction"
128,The Arabian Nights Entertainments,"Lang, Andrew",79,en,NA,Public domain in the USA.,TRUE,lcsh,"Tales -- Arab countries, Folklore -- Arab countries, Arabs -- Folklore, Children's stories, Fairy tales -- Arab countries, Fairy tales"
131,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan","Bunyan, John",81,en,Harvard Classics/Christianity,Public domain in the USA.,TRUE,lcsh,"Christian fiction, Christian pilgrims and pilgrimages -- Fiction"
