Unearthly,"Sixteen-year-old Clara Gardner&#39;s purpose as an angel-blood begins to manifest itself, forcing her family to pull up stakes and move to Jackson, Wyoming, where she learns that danger and heartbreak come with her powers.",Cynthia Hand
Inferno,"In Italy, Harvard professor Robert Langdon is drawn into a world centered on one of history&#39;s most mysterious literary masterpieces--Dante&#39;s &quot;Inferno&quot;--as he battles a chilling adversary and grapples with an ingenious riddle.",Dan Brown
The Show House,&quot;News of a serial killer targeting gay men in nightclubs has everyone in Orlando on edge.,Dan Lopez
How Could She?,A compelling and shocking true story of one woman&#39;s battle to stand up against the men who destroyed her childhood and the mother who committed the gravest betrayal of all.,Dana Fowley
The Office of Historical Corrections,"A collection of stories bringing &quot;insight to the subjects of race, grief, apology, and American history&quot;--Provided by publisher.",Danielle Evans
The Queen of Tuesday,"The Queen of Tuesday--Strauss&#39;s follow-up to the NBCC-winning Half a Life--mixes fact and fiction, memoir and novel, to imagine the provocative story of a woman we thought we knew&quot;--",Darin Strauss
The Circle,"LONGLISTED 2015 - International IMPAC Dublin Literary Award The Circle is the exhilarating new novel from Dave Eggers, bestselling author of A Hologram for the King, a finalist for the National Book Award.",Dave Eggers
Memory Man,He must endure the memories he would much rather forget. And he may have to make the ultimate sacrifice. Memory Man will stay with you long after the turn of the final page.,David Baldacci
The Girl in the Spider's Web,"Late one night, Blomkvist receives a phone call from a trusted source claiming to have information vital to the United States.",David Lagercrantz
Every Day,"Every morning OAO wakes in a different person&#39;s body, in a different person&#39;s life, learning over the years to never get too attached, until he wakes up in the body of Justin and falls in love with Justin&#39;s girlfriend, Rhiannon.",David Levithan
The Wright Brothers,"Chronicles the dramatic story-behind-the-story about the Wright brothers, sharing insights into the disadvantages that challenged their lives and their mechanical ingenuity.",David McCullough
Utopia Avenue,"The long-awaited new novel from the bestselling, prize-winning author of Cloud Atlas and The Bone Clocks.",David Mitchell
The Bone Clocks,Interweaves six narratives spanning the period between 1984 and the 2030s to chronicle a secret war between a cult of soul-decanters and a small group of vigilantes who would take them down.,David Mitchell
When the English Fall,"Written as the diary of an Amish farmer named Jacob who tries to protect his family and his way of life, When the English Fall examines the idea of peace in the face of deadly chaos.",David Williams
Shadow of Night,"A follow-up to the best-selling A Discovery of Witches finds Oxford scholar and reluctant witch Diana Bishop and vampire geneticist Matthew Clairmont in Elizabethan London, where Diana seeks a magical tutor and Matthew confronts elements ...",Deborah E. Harkness
Your Duck Is My Duck,"Each of the six stories in Your Duck is My Duck, her first collection since 2006, has the heft and complexity of a novel.",Deborah Eisenberg
The Book of Life,"Bringing the series&#39; magic and suspense to a deeply satisfying conclusion, The Book of Life is poised to become an even bigger phenomenon in paperback.",Deborah Harkness
A Discovery of Witches,"Discovering a magical manuscript in Oxford&#39;s library, scholar Diana Bishop, a descendant of witches who has rejected her heritage, inadvertently unleashes a fantastical underworld of daemons, witches and vampires whose activities center ...","Deborah Harkness,Deborah E. Harkness"
After the Flare,"After a solar flare knocks Earth off line, Nigeria has the only operating space program and the future depends on engineer Kwesi Bracket and his team",Deji Olukotun
The Largesse of the Sea Maiden,"This collection finds Johnson in new territory, contemplating mortality, the ghosts of the past, and the elusive and unexpected ways the mysteries of the universe assert themselves.",Denis Johnson
Version Control,"A woman deals with a strange and persistent sense of everything being slightly off, which may or may not be related to her scientist husband&#39;s pet project, a &quot;causality violation device&quot; that might actually be working.",Dexter Clarence Palmer
Written in My Own Heart's Blood,Praise for Written in My Own Heart&#39;s Blood &quot;[Written in My Own Heart&#39;s Blood] features all the passion and swashbuckling that fans of this historical fantasy series have come to expect.,Diana Gabaldon
The New Wilderness,"A passionate, tender and terrifying story of a mother&#39;s fight to protect her daughter",Diane Cook
The Goldfinch,"Composed with the skills of a master, The Goldfinch is a haunted odyssey through present-day America, and a drama of almost unbearable acuity and power.",Donna Tartt
Shuggie Bain,"A heart-wrenchingly moving first novel set in Glasgow during the Thatcher years, Shuggie Bain tells the story of a boy&#39;s doomed attempt to save his proud, alcoholic mother from her addiction.",Douglas Stuart
Cincuenta sombras de Grey,"When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Grey&#39;s secrets and explores her own dark desires. This book is intended for mature audiences.",E. L. James
Fifty Shades Freed,"Even though Christian and Anastasia are now a proper couple, they still have many obstacles to overcome, including Christian&#39;s past coming back to haunt Anastasia.",E. L. James
Whatever She Wants,"Originally published: Australia: Writer&#39;s Coffee Shop Publishing House, 2011.",E. L. James
Fifty Shades 2. Darker,"Originally published: Australia: Writer&#39;s Coffee Shop Pub. House, 2011.",E. L. James
We Were Liars,"Spending the summers on her family&#39;s private island off the coast of Massachusetts with her cousins and a special boy named Gat, teenaged Cadence struggles to remember what happened during her fifteenth summer.",E. Lockhart
Everything Inside,"From the bestselling author of Claire of the Sea Light and Brother, I&#39;m Dying comes a long-awaited return to fiction: a gorgeous collection of stories about community, family, and love.",Edwidge Danticat
The Lying Life of Adults,"&quot;Giovanna&#39;s pretty face is changing, turning ugly, at least so her father thinks.",Elena Ferrante
Strange Heart Beating,"A witty and profound debut novel about a sudden death and a marriage abruptly sundered, that takes a grieving widower from London to Latvia in search of the truth about his late wife.",Eli Goldstone
The Poet X,"Because in the face of a world that may not want to hear her, Xiomara refuses to be silent. “Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation “An incredibly potent debut.” ...",Elizabeth Acevedo
Big Magic,"Whether you long to write a book, create art, cope with challenges at work, embark on a long-held dream, or simply to make your everyday life more vivid and rewarding, Big Magic will take you on a journey of exploration filled with wonder ...",Elizabeth Gilbert
Code Name Verity,"Two young women become unlikely best friends during World War II, until one is captured by the Gestapo.",Elizabeth Wein
Valentine,"&quot;In the early hours of the morning after Valentine&#39;s Day [in 1976], fourteen-year-old Gloria Ramâirez appears on the front porch of Mary Rose Whitehead&#39;s ranch house, broken and barely alive.",Elizabeth Wetmore
